"","x"
"CO2_1960",316.91
"CO2_1961",317.65
"CO2_1962",318.45
"CO2_1963",318.99
"CO2_1964",319.2
"CO2_1965",320.03
"CO2_1966",321.37
"CO2_1967",322.18
"CO2_1968",323.05
"CO2_1969",324.62
"CO2_1970",325.68
"CO2_1971",326.32
"CO2_1972",327.46
"CO2_1973",329.68
"CO2_1974",330.25
"CO2_1975",331.15
"CO2_1976",332.15
"CO2_1977",333.9
"CO2_1978",335.5
"CO2_1979",336.85
"CO2_1980",338.69
"CO2_1981",339.93
"CO2_1982",341.13
"CO2_1983",342.78
"CO2_1984",344.42
"CO2_1985",345.9
"CO2_1986",347.15
"CO2_1987",348.93
"CO2_1988",351.48
"CO2_1989",352.91
"CO2_1990",354.19
"CO2_1991",355.59
"CO2_1992",356.37
"CO2_1993",357.04
"CO2_1994",358.88
"CO2_1995",360.88
"CO2_1996",362.64
"CO2_1997",363.76
"CO2_1998",366.63
"CO2_1999",368.31
"CO2_2000",369.48
